Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Arvada Urban Renewal Authority,www.arvadaurbanrenewal.org,8101 Ralston Road,,Arvada,CO,80002,64008,Urban Renewal Authorities,"Adams, Jefferson"
Arvada West Town Center Business Improvement District,www.arvadawesttowncenterbid.com,"2001 16th Street, Suite 1700",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65131,Business Improvement Districts,Jefferson
"Arvada, City of",www.arvada.org/,8101 Ralston Road #8101,,Arvada,CO,80002,64009,Home Rule Municipalities,"Adams, Jefferson"
Ash Meadows Metropolitan District,www.ashmeadowsmetro.org,12210 Brighton Road #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,66487,Metropolitan Districts,Adams
Ash Park and Recreation District,ashparkrecdistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67669,Park & Recreation Districts,Weld
Aspen 1 School District,www.aspenk12.net/,0235 High School Road,,Aspen,CO,81611,49901,School Districts,Pitkin
Aspen Ambulance District,,506 East Main St.,c/o County Commiss.,Aspen,CO,81611,49005,Special Taxing Districts of Home Rule County,Pitkin
Aspen Business Park Metropolitan District,www.auroracrossroadsmetrodistrict.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67705,Metropolitan Districts,Arapahoe
Aspen Consolidated Sanitation District,aspensan.com,"565 North Mill Street, Apt. 201",,Aspen,CO,81611,49002,Sanitation Districts,Pitkin
Aspen Fire Protection District,www.aspenfire.com,420 East Hopkins Avenue,,Aspen,CO,81611,49001,Fire Protection Districts,Pitkin
Aspen Grove Business Improvement District,,"1660 Lincoln Street, Suite 3000",,Denver,CO,80264,03164,Business Improvement Districts,Arapahoe
Aspen Highlands Commercial Metropolitan District,ahmd.specialdistrict.org,PO Box 4100,c/o The Romero Group LLC,Basalt,CO,81621,49032,Metropolitan Districts,Pitkin
Aspen Highlands Residential Metropolitan District,romero-group.com/public-notices/,Aspen Highlands Residential Metro District c/o The Romero Group,PO Box 4100,Basalt,CO,81621-4100,49033,Metropolitan Districts,Pitkin
Aspen Hills Metropolitan District,www.aspenhillsmetrodistrict.org/,"7400 East Orchard Road, Ste 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,65085,Metropolitan Districts,Adams
Aspen Historic Park and Recreation District,www.aspenhistoricparkdistrict.org/,"28 Second Street, Suite 213","Marchetti & Weaver, LLC",Edwards,CO,81632,65493,Park & Recreation Districts,Pitkin
Aspen Park Metropolitan District,www.aspenparkmetropolitandistrict.org,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65099,Metropolitan Districts,Jefferson
Aspen Reserve Metropolitan District,www.colorado.gov/aspenreservemd,"141 Union Boulevard, Ste. 150","c/o Special District Management Services, Inc.",Lakewood,CO,,66678,Metropolitan Districts,Adams
Aspen Ridge Preparatory School,aspenridgeprepschool.org/,705 Austin Avenue,,Erie,CO,80516-2424,67910,Charter Schools,Weld
Aspen Springs Metropolitan District,aspenspringsmetro.org,PO Box 488,,Pagosa Springs,CO,81147,04002,Metropolitan Districts,Archuleta
Aspen Street Metropolitan District,aspenstreetmd.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance,Denver,CO,80231,67065,Metropolitan Districts,Broomfield
Aspen Trails Metropolitan District,www.aspentrailsmd.com,1 Trew Creek Drive,,Durango,CO,81301,65199,Metropolitan Districts,La Plata
Aspen Valley Hospital District,www.avhaspen.org,0401 Castle Creek Road,,Aspen,CO,81611,49004,Health Service Districts (Hospital),Pitkin
Aspen View Academy,www.aspenviewacademy.org,2131 Low Meadow Boulevard,,Castle Rock,CO,80109-8032,67884,Charter Schools,Douglas
Aspen Village Metropolitan District,avmd.specialdistrict.org,Aspen Village Metro District c/o The Romero Group,PO Box 4100,Basalt,CO,81621,65198,Metropolitan Districts,Pitkin
"Aspen, City of",www.cityofaspen.com,130 South Galena Street,,Aspen,CO,81611,49006,Home Rule Municipalities,Pitkin
Atlas Preparatory School,www.atlasprep.org,1602 South Murray Boulevard,,Colorado Springs,CO,80916,67885,Charter Schools,El Paso
Ault Fire Protection District,www.aultpiercefire.org,PO Box 1068,,Ault,CO,80610,62001,Fire Protection Districts,Weld
Ault Housing Authority,,PO Box 1098,,Ault,CO,80610,62063,Housing Authorities (Municipal),Weld
"Ault, Town of",www.townofault.org/,PO Box 1098,,Ault,CO,80610,62003,Statutory Towns,Weld
Ault-Highland RE-9 School District,www.weldre9.k12.co.us,PO Box 68,,Ault,CO,80610,62913,School Districts,Weld
Aurora Centretech Metropolitan District,auroracentretechmd.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,03095,Metropolitan Districts,Arapahoe
Aurora Conference Center General Improvement District (2-2011),,"15151 East Alameda Parkway, 5th Floor",c/o City of Aurora Attorney's Office,Aurora,CO,80012,66439,General Improvement Districts (Municipal),Adams
Aurora Crossroads Metropolitan District No. 1,auroracrossroadsmetrodistrict.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66003,Metropolitan Districts,Arapahoe
Aurora Crossroads Metropolitan District No. 2,auroracrossroadsmetrodistrict.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66004,Metropolitan Districts,Arapahoe
Aurora Expeditionary Learning (AXL) Academy,www.axlacademy.org/,14100 East Jewell Avenue,,Aurora,CO,80012-6907,67837,Charter Schools,Arapahoe
Aurora High Point at DIA Metropolitan District,aurorahp.colorado.gov/,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228,65438,Metropolitan Districts,Adams
Aurora Highlands Community Authority Board,,"2001 16th Street, Ste. 1700","c/o Clifton Larson Allen, LLP",Denver,CO,80202,67296,Intergovernmental Authorities (separate legal entity),Adams
Aurora Highlands Metropolitan District No. 1,www.theaurorahighlands.specialdistrict.net,"2001 16th Street, Ste. 1700","c/o CliftonLarsonAllen, LLP ",Denver,CO,80202,65317,Metropolitan Districts,Adams
Aurora Highlands Metropolitan District No. 2,www.theaurorahighlands.specialdistrict.net,"2001 16th Street, Ste. 1700 ","CliftonLarsonAllen, LLP",Denver,CO,80202,65318,Metropolitan Districts,Adams
Aurora Highlands Metropolitan District No. 3,www.theaurorahighlands.specialdistrict.net,"2001 16th Street, Ste. 1700 ","c/o CliftonLarsonAllen, LLP",Denver,CO,80202,65319,Metropolitan Districts,Adams
Aurora Highlands Metropolitan District No. 4,theaurorahighlands.specialdistrict.net/,"2001 16th Street, Ste. 1700",c/o CliftonLarsonAllen LLP,Denver,CO,80202,67712,Metropolitan Districts,Adams
Aurora Highlands Metropolitan District No. 5,theaurorahighlands.specialdistrict.net/,"2001 16th Street, Ste. 1700",c/o CliftonLarsonAllen LLP,Denver,CO,80202,67713,Metropolitan Districts,Adams
Aurora Highlands Metropolitan District No. 6,theaurorahighlands.specialdistrict.net/,"2001 16th Street, Ste. 1700 Denver, CO 80202",c/o CliftonLarsonAllen LLP,Denver,CO,80202,01042,Metropolitan Districts,Adams
Aurora Housing Authority,,2280 S Xanadu Way,,Aurora,CO,80014,64166,Housing Authorities (Municipal),"Adams, Arapahoe"
Aurora Regional Transportation Authority,auroraregionaltransportationauthority.colorado.gov/ority,"141 Union Boulevard, Suite 150",c/o Special District Management,Lakewood,CO,80228-1898,65860,Intergovernmental Authorities (separate legal entity),"Adams, Arapahoe"
Aurora Single Tree Metropolitan District,www.aurorasingletreemd.com,1700 Lincoln St. Ste 2000,c/o Spencer Fane LLP,Denver,CO,80203,01074,Metropolitan Districts,Adams
Aurora Urban Renewal Authority,,15151 East Alameda Parkway,,Aurora,CO,80012,64161,Urban Renewal Authorities,"Adams, Arapahoe"
"Aurora, City of",www.auroragov.org/,15151 East Alameda Parkway,,Aurora,CO,80012,64010,Home Rule Municipalities,"Adams, Arapahoe, Douglas"
Aurora-Colorado Springs Joint Water Authority,,P.O. Box 1103 MS 1328,Dept. of Utilities,Colorado Springs,CO,80907-1328,64007,Water Authorities,"El Paso, Adams, Arapahoe"
Avenues Metropolitan District No. 1,theavenuesmd.com,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65768,Metropolitan Districts,Arapahoe
Avenues Metropolitan District No. 2,theavenuesmd.com,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65769,Metropolitan Districts,Arapahoe
Avenues Metropolitan District No. 3,theavenuesmd.com,"2145 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65770,Metropolitan Districts,Arapahoe
Avenues Metropolitan District No. 4,theavenuesmd.com,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65771,Metropolitan Districts,Arapahoe
Avenues Metropolitan District No. 5,theavenuesmd.com,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65772,Metropolitan Districts,Arapahoe
Aviation Station North Metropolitan District No. 1,www.aviationstationnorthmds.com,"2001 16th Street, Ste. 1700 ",c/o CliftonlarsonAllen LLP,Denver,CO,80202,66399,Metropolitan Districts,Denver
Aviation Station North Metropolitan District No. 2,www.aviationstationnorthmds.com,"2001 16th Street, Ste. 1700 Denver, CO 80202",c/o CliftonLarsonAllen LLP,Denver,CO,80202,66400,Metropolitan Districts,Denver
Aviation Station North Metropolitan District No. 3,www.aviationstationnorthmds.com,"2001 16th Street, Ste. 1700",c/o ClifronLarsonAllen LLP,Denver,CO,80202,66401,Metropolitan Districts,Denver
Aviation Station North Metropolitan District No. 4,www.aviationstationnorthmds.com,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,66402,Metropolitan Districts,Denver
Aviation Station North Metropolitan District No. 5,asnmp5.specialdistrict.org/,"4725 S. Monaco St., Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,66403,Metropolitan Districts,Denver
Aviation Station North Metropolitan District No. 6,aviationstationnorthmds.com,141 Union Blvd Ste 150,,Lakewood,CO,80228,66404,Metropolitan Districts,Denver
Avion Metropolitan District,avionmetropolitandistrict.specialdistrict.net/,450 E 17th Avenue Suite 400,McGeady Becher P.C.,Denver,CO,80203,66743,Metropolitan Districts,Denver
Avon Downtown Development Authority,,P.O. Box 975,c/o Town of Avon,Avon,CO,81620,67949,Downtown Development Authorities,Eagle
Avon Housing Authority,,PO Box 975,,Avon,CO,81620,19046,Housing Authorities (Municipal),Eagle
Avon Station Metropolitan District,www.confluenceavonmetrodistricts.org/,"28 Second Street, Suite 213",c/o Marchetti & Weaver LLC,Edwards,CO,81632,19062,Metropolitan Districts,Eagle
Avon Urban Renewal Authority,,PO Box 975,,Avon,CO,81620,65827,Urban Renewal Authorities,Eagle
"Avon, Town of",www.avon.org/,PO Box 975,,Avon,CO,81620,19003,Home Rule Municipalities,Eagle
Avondale Water & Sanitation District,,PO Box 188,,Avondale,CO,81022,51001,Water & Sanitation Districts,Pueblo
BBC Metropolitan District,www.bbcmetro.org/,2619 Canton Court Ste A,"c/o Special District Management Services, Inc.",Fort Collins,CO,80525,65121,Metropolitan Districts,Broomfield
BNC Metropolitan District No. 1,www.bncmetro1.org/,Spencer Fane LLP,"1700 Lincoln Street, Suite 2000",Denver,CO,80211,01093,Metropolitan Districts,Adams
BNC Metropolitan District No. 2,www.turnberrymetro2.org/,"12210 Brighton Road, #8","c/o Wolfersberger, LLC",Henderson,CO,80640,65208,Metropolitan Districts,Adams
BNC Metropolitan District No. 2 - Subdistrict No. 1,www.turnberrymetro2.org,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,68212,Subdistrict of Special District,Adams
BNC Metropolitan District No. 3,bncmetrodistrict3.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Service, Inc.",Lakewood,CO,80228-1898,65209,Metropolitan Districts,Adams
Baca County,bacacountyco.gov,741 Main Street,,Springfield,CO,81073,05001,Counties,Baca
Baca County Conservation District,bccd.specialdistrict.org/,PO Box 389,27200 Highway 287,Springfield,CO,81073,05007,Conservation Districts (Soil),Baca
Baca County Emergency Telephone Service Authority,,741 Main Street,c/o Baca Cty. Bd. Of Cty. Commissioners,Springfield,CO,81073-1548,05027,Emergency Telephone Service (911 Authorities),Baca
Baca County Pest Control District,,741 Main Street,c/o Baca County Board of County Commissioners,Springfield,CO,81073,65293,County Pest Control Districts,Baca
Baca Grande Water & Sanitation District,bacawater.com,PO Box 520,,Crestone,CO,81131,55001,Water & Sanitation Districts,Saguache
Bachelor Gulch Metropolitan District,bachelorgulchmetro.org,"28 Second Street, Suite 213","c/o Marchetti & Weaver, LLC",Edwards,CO,81632,19053,Metropolitan Districts,Eagle
Bailey Water & Sanitation District,,PO Box 422,,Bailey,CO,80421-0422,47002,Water & Sanitation Districts,Park
Ballpark Denver General Improvement District,,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68094,General Improvement Districts (Municipal),Denver
Bancroft-Clover Water & Sanitation District,www.bancroft-clover.com,900 South Wadsworth Boulevard,,Lakewood,CO,80226,30004,Water & Sanitation Districts,Jefferson
Bandera Boulevard Special Improvement Maintenance District,,PO Box 1427,c/o City of Pueblo,Pueblo,CO,81002,65290,Special Taxing Districts of Home Rule Municipality,Pueblo
Banning Lewis Ranch Metropolitan District No. 1,banninglewisranchmetrodistrict.com/,"121 S Tejon Street, Ste. 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65486,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 10,banninglewisranchmetrodistrict.com/,"121 S. Tejon St., Suite 1100, ",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,67099,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 11,banninglewisranchmetrodistrict.com/,"121 S. Tejon St., Suite 1100, ",c/o CliftonLarsonAllen LLP,Colorado Springs,CO, 80903,67100,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 2,banninglewisranchmetrodistrict.com,"121 S Tejon Street, Ste. 1100",,Colorado Springs,CO,80903,65487,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 3,banninglewisranchmetrodistrict.com,"121 S Tejon Street, Ste. 1100",,Colorado Springs,CO,80903,65488,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 4,banninglewisranchmetrodistrict.com,"121 S Tejon Street, Ste. 1100",c/ o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65489,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 5,banninglewisranchmetrodistrict.com,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65490,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 8,banninglewisranchmetrodistrict.com/,"121 S. Tejon St., Suite 1100, ",c/o CliftonLarsonAllen LLP,Colorado Springs,CO, 80903,67097,Metropolitan Districts,El Paso
Banning Lewis Ranch Metropolitan District No. 9,banninglewisranchmetrodistrict.com/,"121 S. Tejon St., Suite 1100, ",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,67098,Metropolitan Districts,El Paso
Banning Lewis Ranch Regional Metropolitan District No. 1,banninglewisranchmetrodistrict.com,"121 S. Tejon Street, Ste. 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65491,Metropolitan Districts,El Paso
Banning Lewis Ranch Regional Metropolitan District No. 2,banninglewisranchmetrodistrict.com,"121 S. Tejon St., Suite 1100, ",c/o Clifton Larson Allen LLP,"Colorado Springs, ",CO,80903,65492,Metropolitan Districts,El Paso
Barnes & Powers North Business Improvement District,www.barnespowersbid.com/,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP ,Colorado Springs,CO,80903,65274,Business Improvement Districts,El Paso
Barnes & Powers South Business Improvement District,www.barnespowersbid.com/,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65275,Business Improvement Districts,El Paso
Barnes Center Metropolitan District,wsdistricts.co/projects/barnes-center-metropolitan-distric,614 North Tejon Street,c/o Walker Schooler District Managers,Colorado Springs,CO,80903,67019,Metropolitan Districts,El Paso
Basalt & Rural Fire Protection District,,1089 JW Drive,,Carbondale,CO,81623,64013,Fire Protection Districts,"Pitkin, Eagle"
Basalt Regional Library District,www.basaltlibrary.org,14 Midland Avenue,,Basalt,CO,81621-8305,64014,Library Districts,"Pitkin, Eagle"
Basalt Sanitation District,www.basaltsanitation.org,PO Box 527,,Basalt,CO,81621-0527,64015,Sanitation Districts,"Pitkin, Eagle"
Basalt Water Conservancy District,bwcd.org,P.O. Box 974,,Glenwood Springs,CO,81602,64016,Water Conservancy Districts,"Garfield, Pitkin, Eagle"
"Basalt, Town of",www.basalt.net/,101 Midland Avenue,,Basalt,CO,81621-8305,64017,Home Rule Municipalities,"Pitkin, Eagle"
Base Village Metropolitan District No. 1,www.basevillagemetro.com/district-one,"2154 E. Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65345,Metropolitan Districts,Pitkin
Base Village Metropolitan District No. 2,www.basevillagemetro2.org,12210 Brighton Road #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65346,Metropolitan Districts,Pitkin
Baseline Metropolitan District No. 1,www.baselinemd.live/,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,66334,Metropolitan Districts,Broomfield
Baseline Metropolitan District No. 2,www.baselinemd.live/,550 W Eisenhower Bouldevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,65054,Metropolitan Districts,Broomfield
Baseline Metropolitan District No. 3,www.baselinemd.live/,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,65056,Metropolitan Districts,Broomfield
Baseline Metropolitan District No. 4,www.baselinemd.live/,550 W Eisenhower Boulevar,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,66889,Metropolitan Districts,Broomfield
